,cod_cidades,city,uf,atendido_loggi,distancia_cajamar,populacao,area_em_km2,tem_malha,latitude,longitude,idh_renda,indice_roubo,quantidade_decolagens,latitude_airport,longitude_airport,caminhao,caminhonete,camioneta,motocicleta,preco_gasolina,preco_diesel_s10,area_urbana,pib,distance_airport,viabilidade_terrestre,viabilidade_aerea,custo_indireto,custo_direto,lucro,score
14,3525904,JUNDIAI,SP,não,58,409515,431.969,0,-23.1852,-46.8974,0.8340000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,8069.0,23290.0,14433.0,44315.0,4.393466666666667,3.5988974358974364,50.8,36339235.0,51.50455242557679,0.39734585021027163,1.0,0.4748705035815566,0.029978110736595436,0.5292720992204581,0.23999849794054906
517,4205407,FLORIANOPOLIS,SC,não,696,485865,433.317,1,-27.5945,-48.5477,0.87,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,3772.0,19525.0,22676.0,48411.0,4.098999999999999,3.499,31.9,17328527.0,0.0,0.4021303093600869,0.13849427848216947,0.2606599429959176,0.09819567248939688,0.41188771621411496,0.2163987733659642
51,3525300,JAU,SP,não,303,146352,688.337,0,-22.2936,-48.5592,0.768,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2556.0,7027.0,3830.0,20969.0,4.049,3.239,12.9,4002111.0,248.64436933172104,0.12716075706735247,1.0,0.24849170580114258,0.15518327907910912,0.2813272995721668,0.2138636835301095
10,3549805,SAO JOSE DO RIO PRETO,SP,não,441,450671,431.307,1,-20.8113,-49.3758,0.8009999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,8505.0,29319.0,13632.0,84805.0,4.393466666666667,3.5988974358974364,117.4,15802010.0,0.0,0.48391821650632505,1.0,0.4748705035815566,0.06153403781180361,0.46720142600146763,0.19970369018310227
309,4115200,MARINGA,PR,não,650,408678,487.93,1,-23.4205,-51.9333,0.8059999999999999,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,10165.0,28257.0,10692.0,48279.0,4.402125,3.4268571428571426,54.3,14233028.0,0.0,0.42132662599181175,0.2698110547033839,0.31048051412157146,0.09158220113579181,0.39545774303112285,0.19001814690780905
12,3530607,MOGI DAS CRUZES,SP,não,64,433948,714.156,0,-23.5208,-46.1854,0.762,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,6591.0,15623.0,10772.0,28417.0,4.393466666666667,3.5988974358974364,55.1,13367335.0,30.86565127350824,0.287867503356378,1.0,0.4748705035815566,0.021420448592659794,0.37659209861480725,0.17869640784442284
48,3548807,SAO CAETANO DO SUL,SP,não,13,159589,15.36,0,-23.6229,-46.5548,0.8909999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2784.0,9142.0,8447.0,11609.0,4.393466666666667,3.5988974358974364,15.4,16153419.0,22.364794642550756,0.16580037005469525,1.0,0.4748705035815566,0.010208044695679644,0.3952614053185957,0.1781329990924765
310,4119905,PONTA GROSSA,PR,não,515,344350,2067.545,1,-25.0916,-50.1668,0.755,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,6731.0,18615.0,7387.0,26259.0,4.402125,3.4268571428571426,35.7,11598200.0,0.0,0.272505530998306,0.2698110547033839,0.31048051412157146,0.0721731004241248,0.34423542325002005,0.16917627144706424
17,3506003,BAURU,SP,não,331,371663,673.488,1,-22.3246,-49.0871,0.8,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,6028.0,20135.0,10349.0,47909.0,4.393466666666667,3.5988974358974364,68.9,12137134.0,0.0,0.32769681971998854,1.0,0.4748705035815566,0.04571921500970455,0.3962001818085373,0.16723486799972517
9,3529401,MAUA,SP,não,26,462029,62.293,0,-23.6677,-46.4613,0.721,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,4165.0,10550.0,8492.0,35335.0,4.393466666666667,3.5988974358974364,48.7,11329503.0,25.738325089078288,0.22417957116028198,1.0,0.4748705035815566,0.013616862000441673,0.34459746337251335,0.1657486822724237
13,3513801,DIADEMA,SP,não,20,417842,30.65,0,-23.6813,-46.6205,0.7170000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,4411.0,11167.0,7646.0,41732.0,4.393466666666667,3.5988974358974364,27.3,13910517.0,31.102160453704272,0.232290716900159,1.0,0.4748705035815566,0.015202470218561493,0.3364000159430504,0.16251063931497342
527,4202909,BRUSQUE,SC,não,634,128872,283.445,0,-27.0977,-48.9107,0.794,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,2646.0,8445.0,4773.0,18490.0,4.09,3.39,12.8,5394835.0,72.66986882647666,0.13959319008516505,0.13849427848216947,0.21463377355435334,0.12245083624507606,0.2979592954347092,0.158914263887819
248,3118601,CONTAGEM,MG,não,570,658632,194.586,0,-19.9321,-44.0539,0.745,0.4663301331158427,4688299.0,-19.62444305419922,-43.97194290161133,14683.0,27094.0,12062.0,50531.0,4.677,3.499,99.9,26275134.0,35.12429776452551,0.4855073488758274,0.39623120961248837,0.401943292795133,0.0961124230148468,0.4913607301900796,0.1561813235297954
518,4202404,BLUMENAU,SC,não,603,348494,519.837,0,-26.9155,-49.0709,0.812,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,5651.0,16952.0,12201.0,40789.0,4.097,3.537,44.0,16767107.0,98.12514983682561,0.31287597584556964,0.13849427848216947,0.27549119741723543,0.12961257828466838,0.40163674561500157,0.1531746234125076
25,3552502,SUZANO,SP,não,51,290784,205.865,0,-23.5448,-46.3112,0.708,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3619.0,8491.0,6150.0,15400.0,4.393466666666667,3.5988974358974364,42.2,10130268.0,20.48746660329187,0.15884750663492742,1.0,0.4748705035815566,0.014814471441987297,0.32669174493518977,0.14848426169901166
312,4125506,SAO JOSE DOS PINHAIS,PR,não,417,307634,945.717,0,-25.5313,-49.2031,0.7490000000000001,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,8057.0,14434.0,6342.0,24802.0,4.39,3.57,34.7,23220247.0,2.761449003566598,0.25724065816389996,0.2698110547033839,0.3652632409871213,0.05934394924752604,0.40853603003859956,0.14743817720895505
